FEATURE,IMPORTANCE,STD,RANK,DATASET,TEST_SET,REGRESSOR
AverageDistinctValuesPerEntity,0.0,0.0,7,optuna,D8,AutoML
AverageNVpairsPerAttribute,0.0,0.0,8,optuna,D8,AutoML
AverageDistinctValuesPerAttribute,0.0,0.0,9,optuna,D8,AutoML
NumberOfMissingNVpairs,0.0,0.0,10,optuna,D8,AutoML
AverageValueLength,0.0,0.0,11,optuna,D8,AutoML
AverageValueTokens,0.0,0.0,12,optuna,D8,AutoML
MaxValuesPerEntity,0.0,0.0,13,optuna,D8,AutoML
clustering_ConnectedComponentsClustering,0.3383202207873495,0.0049957810129536,14,optuna,D8,AutoML
clustering_KiralyMSMApproximateClustering,0.0123607977126327,0.0002695605036179,15,optuna,D8,AutoML
clustering_UniqueMappingClustering,0.0025882576780068,0.0001271061938133,16,optuna,D8,AutoML
lm_fasttext,0.0017008301775263,0.0001039117187918,17,optuna,D8,AutoML
lm_sdistilroberta,-0.0023769833731924,6.086374959362556e-05,18,optuna,D8,AutoML
lm_sent_glove,0.0040768773431331,9.47361128579236e-05,19,optuna,D8,AutoML
lm_sminilm,-0.0011055262955817,0.0001558424065964,20,optuna,D8,AutoML
lm_smpnet,-0.0053155837914112,0.0001158412377149,21,optuna,D8,AutoML
lm_st5,0.0217718844526399,0.0010224319420244,22,optuna,D8,AutoML
lm_word2vec,0.0006012711106304,8.368629277161844e-05,23,optuna,D8,AutoML
k,0.0004361255320747,7.784872279171669e-05,0,optuna,D1,AutoML
threshold,-0.0048203273914148,0.0011163130447495,1,optuna,D1,AutoML
InputEntityProfiles,0.0,0.0,2,optuna,D1,AutoML
NumberOfAttributes,0.0,0.0,3,optuna,D1,AutoML
NumberOfDistinctValues,0.0,0.0,4,optuna,D1,AutoML
NumberOfNameValuePairs,0.0,0.0,5,optuna,D1,AutoML
AverageNVPairsPerEntity,0.0,0.0,6,optuna,D1,AutoML
AverageDistinctValuesPerEntity,0.0,0.0,7,optuna,D1,AutoML
AverageNVpairsPerAttribute,0.0,0.0,8,optuna,D1,AutoML
AverageDistinctValuesPerAttribute,0.0,0.0,9,optuna,D1,AutoML
NumberOfMissingNVpairs,0.0,0.0,10,optuna,D1,AutoML
AverageValueLength,0.0,0.0,11,optuna,D1,AutoML
AverageValueTokens,0.0,0.0,12,optuna,D1,AutoML
MaxValuesPerEntity,0.0,0.0,13,optuna,D1,AutoML
clustering_ConnectedComponentsClustering,-0.2025703379029288,0.0067705589547369,14,optuna,D1,AutoML
clustering_KiralyMSMApproximateClustering,0.0044735969210653,9.862156694741804e-05,15,optuna,D1,AutoML
clustering_UniqueMappingClustering,0.0042474917631786,0.0001031631885422,16,optuna,D1,AutoML
lm_fasttext,0.0181749883941505,0.0004445125579835,17,optuna,D1,AutoML
lm_sdistilroberta,-6.351388996881369e-05,3.18070151267559e-05,18,optuna,D1,AutoML
lm_sent_glove,0.0001353859646466,9.783528584786136e-05,19,optuna,D1,AutoML
lm_sminilm,0.0033399140468989,0.0003181300188692,20,optuna,D1,AutoML
lm_smpnet,-0.003855376557212,0.0002262736815609,21,optuna,D1,AutoML
lm_st5,0.0062006270698939,0.0005005940275634,22,optuna,D1,AutoML
lm_word2vec,0.0024387093167726,0.000251413013943,23,optuna,D1,AutoML
k,-0.0001217442145756,1.6059761384347866e-05,0,optuna,D7,AutoML
