trial,dataset,clustering,lm,k,threshold,sampler,seed,precision,recall,f1,runtime
5,D9,UniqueMappingClustering,sminilm,44,0.5243046510147403,tpe,16,87.0631,93.8908,90.3481,11.0025
6,D9,UniqueMappingClustering,sminilm,20,0.14051661315009667,tpe,16,86.1288,93.8908,89.8425,12.3359
7,D9,ConnectedComponentsClustering,sent_glove,46,0.7395230077261655,tpe,16,96.5458,24.2201,38.7253,16.7216
8,D9,KiralyMSMApproximateClustering,sent_glove,36,0.8930100289048913,tpe,16,96.875,9.4021,17.1406,8.3177
9,D9,KiralyMSMApproximateClustering,sdistilroberta,18,0.19649528379445302,tpe,16,89.8262,91.8111,90.8078,12.2001
10,D9,UniqueMappingClustering,st5,83,0.9433630976698483,tpe,16,98.3005,47.617,64.1565,15.7889
11,D9,BestMatchClustering,smpnet,3,0.29793362444719196,tpe,16,83.0414,90.3813,86.556,4.4152
12,D9,KiralyMSMApproximateClustering,sdistilroberta,72,0.3146127800606803,tpe,16,90.0977,91.8544,90.9676,30.2192
13,D9,UniqueMappingClustering,st5,74,0.35519732022723766,tpe,16,88.2353,96.1872,92.0398,47.3834
14,D9,UniqueMappingClustering,st5,98,0.3626005261408972,tpe,16,88.2353,96.1872,92.0398,62.6266
15,D9,UniqueMappingClustering,st5,99,0.3719063900050051,tpe,16,88.2353,96.1872,92.0398,62.7715
16,D9,UniqueMappingClustering,st5,99,0.402063186195049,tpe,16,88.2353,96.1872,92.0398,62.072
17,D9,UniqueMappingClustering,st5,89,0.220789218538661,tpe,16,88.2353,96.1872,92.0398,55.5777
18,D9,UniqueMappingClustering,smpnet,64,0.4306512457636752,tpe,16,84.8509,92.461,88.4926,19.0271
19,D9,ConnectedComponentsClustering,st5,85,0.6639297408272906,tpe,16,0,0,0,29.1018
20,D9,BestMatchClustering,st5,78,0.4624023895250643,tpe,16,86.8045,94.6274,90.5473,23.5649
21,D9,UniqueMappingClustering,st5,100,0.34766883331372267,tpe,16,88.2353,96.1872,92.0398,72.01
22,D9,UniqueMappingClustering,st5,91,0.2479770922895381,tpe,16,88.2353,96.1872,92.0398,57.4953
23,D9,UniqueMappingClustering,st5,59,0.34655469171867775,tpe,16,88.2353,96.1872,92.0398,40.0876
24,D9,UniqueMappingClustering,st5,93,0.4071532799902914,tpe,16,88.2353,96.1872,92.0398,60.1103
25,D9,UniqueMappingClustering,sminilm,77,0.6196458895941593,tpe,16,90.1414,93.8908,91.9779,15.9742
26,D9,UniqueMappingClustering,st5,94,0.47534272849702536,tpe,16,88.2353,96.1872,92.0398,60.563
27,D9,UniqueMappingClustering,smpnet,80,0.062103643641625905,tpe,16,84.8172,92.461,88.4743,50.0851
28,D9,BestMatchClustering,st5,68,0.2783002623299917,tpe,16,86.8045,94.6274,90.5473,23.0694
29,D9,ConnectedComponentsClustering,sdistilroberta,100,0.5545118486923859,tpe,16,92.3077,2.0797,4.0678,36.4231
0,D9,ConnectedComponentsClustering,sdistilroberta,23,0.5573132422113427,tpe,16,91.5254,2.3397,4.5627,10.2566
1,D9,UniqueMappingClustering,st5,70,0.8759183069702524,tpe,16,95.9059,88.3016,91.9468,13.5335
2,D9,BestMatchClustering,sent_glove,55,0.09796940450982233,tpe,16,63.4738,69.1941,66.2106,17.2171
3,D9,KiralyMSMApproximateClustering,sent_glove,27,0.570206071017357,tpe,16,79.1214,66.3345,72.1659,11.9263
4,D9,KiralyMSMApproximateClustering,sent_glove,22,0.7181165624592646,tpe,16,86.6817,49.9133,63.3489,5.4762
5,D9,UniqueMappingClustering,sminilm,44,0.5243046510147403,tpe,16,87.0631,93.8908,90.3481,10.2772
6,D9,UniqueMappingClustering,sminilm,20,0.14051661315009667,tpe,16,86.1288,93.8908,89.8425,12.5555
7,D9,ConnectedComponentsClustering,sent_glove,46,0.7395230077261655,tpe,16,96.5458,24.2201,38.7253,17.3381
8,D9,KiralyMSMApproximateClustering,sent_glove,36,0.8930100289048913,tpe,16,96.875,9.4021,17.1406,7.6117
9,D9,KiralyMSMApproximateClustering,sdistilroberta,18,0.19649528379445302,tpe,16,89.8262,91.8111,90.8078,12.7818
10,D9,UniqueMappingClustering,st5,83,0.9433630976698483,tpe,16,98.3005,47.617,64.1565,15.5948
11,D9,BestMatchClustering,smpnet,3,0.29793362444719196,tpe,16,83.0414,90.3813,86.556,3.3924
12,D9,KiralyMSMApproximateClustering,sdistilroberta,72,0.3146127800606803,tpe,16,90.0977,91.8544,90.9676,29.9433
13,D9,UniqueMappingClustering,st5,74,0.35519732022723766,tpe,16,88.2353,96.1872,92.0398,47.1211
14,D9,UniqueMappingClustering,st5,98,0.3626005261408972,tpe,16,88.2353,96.1872,92.0398,63.3264
15,D9,UniqueMappingClustering,st5,99,0.3719063900050051,tpe,16,88.2353,96.1872,92.0398,63.0166
16,D9,UniqueMappingClustering,st5,99,0.402063186195049,tpe,16,88.2353,96.1872,92.0398,63.057
17,D9,UniqueMappingClustering,st5,89,0.220789218538661,tpe,16,88.2353,96.1872,92.0398,56.9904
18,D9,UniqueMappingClustering,smpnet,64,0.4306512457636752,tpe,16,84.8509,92.461,88.4926,19.0475
19,D9,ConnectedComponentsClustering,st5,85,0.6639297408272906,tpe,16,0,0,0,35.1347
20,D9,BestMatchClustering,st5,78,0.4624023895250643,tpe,16,86.8045,94.6274,90.5473,24.4748
21,D9,UniqueMappingClustering,st5,100,0.34766883331372267,tpe,16,88.2353,96.1872,92.0398,65.3703
22,D9,UniqueMappingClustering,st5,91,0.2479770922895381,tpe,16,88.2353,96.1872,92.0398,57.4386
23,D9,UniqueMappingClustering,st5,59,0.34655469171867775,tpe,16,88.2353,96.1872,92.0398,36.9679
24,D9,UniqueMappingClustering,st5,93,0.4071532799902914,tpe,16,88.2353,96.1872,92.0398,61.6868
25,D9,UniqueMappingClustering,sminilm,77,0.6196458895941593,tpe,16,90.1414,93.8908,91.9779,15.1742
26,D9,UniqueMappingClustering,st5,94,0.47534272849702536,tpe,16,88.2353,96.1872,92.0398,60.0233
27,D9,UniqueMappingClustering,smpnet,80,0.062103643641625905,tpe,16,84.8172,92.461,88.4743,50.1127
28,D9,BestMatchClustering,st5,68,0.2783002623299917,tpe,16,86.8045,94.6274,90.5473,22.8016
29,D9,ConnectedComponentsClustering,sdistilroberta,100,0.5545118486923859,tpe,16,92.3077,2.0797,4.0678,35.8575
30,D9,ConnectedComponentsClustering,st5,86,0.17111309025008947,tpe,16,0,0,0,29.1624
31,D9,UniqueMappingClustering,st5,99,0.40154698721508325,tpe,16,88.2353,96.1872,92.0398,64.4303
