trial,dataset,clustering,lm,k,threshold,sampler,seed,precision,recall,f1,runtime
1158,D6,UniqueMappingClustering,st5,97,0.7000000000000001,gridsearch,42,31.8141,65.7649,42.8832,2.5034546852111816
1159,D6,UniqueMappingClustering,st5,71,0.35000000000000003,gridsearch,42,15.7618,72.5746,25.8988,5.512387037277222
1160,D6,BestMatchClustering,sent_glove,64,0.05,gridsearch,42,5.7517,25.8396,9.409,2.504406452178955
1161,D6,UniqueMappingClustering,sminilm,98,0.7500000000000001,gridsearch,42,61.426,31.3433,41.5071,2.062509059906006
1162,D6,UniqueMappingClustering,st5,74,0.7500000000000001,gridsearch,42,44.2017,49.0672,46.5075,1.9630637168884277
1163,D6,ConnectedComponentsClustering,sminilm,52,0.9000000000000001,gridsearch,42,76.4706,8.4888,15.2813,2.653632402420044
1164,D6,UniqueMappingClustering,smpnet,40,0.8500000000000001,gridsearch,42,68.4211,13.3396,22.3263,1.3941800594329834
1165,D6,BestMatchClustering,sent_glove,68,0.2,gridsearch,42,5.7944,26.0261,9.4785,2.601546049118042
1166,D6,KiralyMSMApproximateClustering,st5,26,0.6000000000000001,gridsearch,42,32.5822,67.444,43.938,2.4472858905792236
1167,D6,KiralyMSMApproximateClustering,st5,74,0.6500000000000001,gridsearch,42,36.8448,66.2313,47.3491,3.721386671066284
1168,D6,KiralyMSMApproximateClustering,sminilm,68,0.3,gridsearch,42,38.1114,73.4142,50.1753,4.304064512252808
1169,D6,BestMatchClustering,st5,23,0.55,gridsearch,42,9.0773,39.7388,14.7788,1.7843966484069824
1170,D6,ConnectedComponentsClustering,st5,20,0.7500000000000001,gridsearch,42,71.5134,22.4813,34.2087,1.5295813083648682
1171,D6,ConnectedComponentsClustering,sent_glove,81,0.2,gridsearch,42,0,0,0,3.0299229621887207
1172,D6,BestMatchClustering,sminilm,60,0.1,gridsearch,42,9.3538,43.75,15.4124,2.538484573364258
1173,D6,UniqueMappingClustering,sminilm,82,0.2,gridsearch,42,16.8769,78.6381,27.7897,5.531558513641357
1174,D6,UniqueMappingClustering,st5,9,0.35000000000000003,gridsearch,42,19.544,72.7612,30.8118,1.6870088577270508
1175,D6,UniqueMappingClustering,sent_glove,87,0.8,gridsearch,42,33.2261,38.5261,35.6803,1.892153263092041
1176,D6,UniqueMappingClustering,sminilm,93,0.4,gridsearch,42,19.4721,78.4515,31.2001,4.213399171829224
1177,D6,UniqueMappingClustering,sminilm,98,0.8,gridsearch,42,63.8655,28.3582,39.2765,2.087526798248291
1178,D6,BestMatchClustering,st5,94,0.5,gridsearch,42,8.1177,38.3396,13.3985,3.753706455230713
1179,D6,ConnectedComponentsClustering,sminilm,1,0.6500000000000001,gridsearch,42,71.9424,37.3134,49.14,0.7144982814788818
1180,D6,KiralyMSMApproximateClustering,st5,32,0.3,gridsearch,42,33.4567,67.444,44.7263,2.9351954460144043
1181,D6,UniqueMappingClustering,st5,25,0.3,gridsearch,42,17.0742,72.9478,27.6716,2.33475923538208
1182,D6,BestMatchClustering,sminilm,87,0.7000000000000001,gridsearch,42,55.1471,34.9813,42.8082,2.4202170372009277
1183,D6,UniqueMappingClustering,sent_glove,22,0.7500000000000001,gridsearch,42,28.8212,41.5112,34.0214,0.9598720073699951
1184,D6,BestMatchClustering,sent_glove,64,0.6500000000000001,gridsearch,42,12.6874,32.3694,18.2296,2.115187883377075
1185,D6,UniqueMappingClustering,sminilm,56,0.7000000000000001,gridsearch,42,58.5185,36.847,45.2204,1.637599229812622
1186,D6,UniqueMappingClustering,sminilm,42,0.25,gridsearch,42,17.6864,79.0112,28.9029,3.0253396034240723
1187,D6,BestMatchClustering,st5,19,0.1,gridsearch,42,9.1581,39.2724,14.8527,1.694206714630127
1188,D6,BestMatchClustering,sminilm,41,0.5,gridsearch,42,20.0296,50.5597,28.6924,1.638535737991333
1189,D6,ConnectedComponentsClustering,st5,47,0.55,gridsearch,42,0,0,0,2.458808422088623
1190,D6,UniqueMappingClustering,sminilm,40,0.55,gridsearch,42,40.3217,70.1493,51.2087,1.3048648834228516
1191,D6,UniqueMappingClustering,sminilm,98,0.15000000000000002,gridsearch,42,16.6865,78.5448,27.5253,6.778968572616577
1192,D6,UniqueMappingClustering,sent_glove,87,0.25,gridsearch,42,11.1183,48.3209,18.0771,5.49183988571167
1193,D6,KiralyMSMApproximateClustering,st5,3,0.35000000000000003,gridsearch,42,29.8218,70.2425,41.8682,1.3384931087493896
1194,D6,BestMatchClustering,st5,80,0.35000000000000003,gridsearch,42,8.1301,38.2463,13.4096,3.2248992919921875
1195,D6,UniqueMappingClustering,sminilm,68,0.1,gridsearch,42,17.0024,78.7313,27.9655,4.642921209335327
1196,D6,KiralyMSMApproximateClustering,sminilm,48,0.7500000000000001,gridsearch,42,62.3836,31.25,41.6408,1.522871971130371
1197,D6,BestMatchClustering,sminilm,59,0.15000000000000002,gridsearch,42,9.3613,43.75,15.4226,2.4628427028656006
1198,D6,KiralyMSMApproximateClustering,st5,8,0.1,gridsearch,42,29.2479,68.5634,41.0042,1.5979218482971191
1199,D6,KiralyMSMApproximateClustering,smpnet,47,0.1,gridsearch,42,37.609,68.3769,48.527,3.605656623840332
1200,D6,BestMatchClustering,sminilm,84,0.8,gridsearch,42,63.2353,28.0784,38.8889,2.117739200592041
1201,D6,KiralyMSMApproximateClustering,sminilm,64,0.45,gridsearch,42,41.2632,73.1343,52.7591,2.9027388095855713
1202,D6,KiralyMSMApproximateClustering,sminilm,73,0.4,gridsearch,42,39.3303,73.4142,51.2203,3.6971352100372314
1203,D6,BestMatchClustering,st5,84,0.6000000000000001,gridsearch,42,8.4056,38.8993,13.824,3.281024694442749
1204,D6,ConnectedComponentsClustering,sent_glove,81,0.25,gridsearch,42,0,0,0,3.1255362033843994
1205,D6,ConnectedComponentsClustering,st5,34,0.6500000000000001,gridsearch,42,41.1765,0.653,1.2856,1.9587211608886719
1206,D6,BestMatchClustering,sminilm,59,0.6000000000000001,gridsearch,42,41.1462,52.2388,46.0337,1.979335069656372
1207,D6,BestMatchClustering,sminilm,53,0.4,gridsearch,42,11.1186,46.1754,17.9218,2.1723930835723877
1208,D6,BestMatchClustering,sminilm,42,0.9000000000000001,gridsearch,42,62.1302,9.7948,16.9218,1.613029956817627
1209,D6,KiralyMSMApproximateClustering,sminilm,96,0.5,gridsearch,42,45.5786,71.6418,55.7127,2.8788130283355713
1210,D6,UniqueMappingClustering,st5,75,0.8500000000000001,gridsearch,42,60.9504,27.5187,37.9177,1.9697949886322021
1211,D6,UniqueMappingClustering,sminilm,43,0.4,gridsearch,42,20.2441,78.9179,32.2224,2.352191686630249
