,Dataset,Max Trials,F1 Ratio
114,D6,75,0.9993049354891175
115,D6,80,0.9993049354891175
116,D6,85,0.9993049354891175
117,D6,90,0.9993049354891175
118,D6,95,0.9993348093219635
119,D6,100,0.9993348093219635
120,D7,5,0.8790712590025789
121,D7,10,0.9439126903884898
122,D7,15,0.9536172885145578
123,D7,20,0.9647738795677278
124,D7,25,0.9916755374823512
125,D7,30,0.9939820980258539
126,D7,35,0.995936498321597
127,D7,40,0.9991201932427395
128,D7,45,0.9992068971148692
129,D7,50,1.002257863848197
130,D7,55,1.002257863848197
131,D7,60,1.0025583580899613
132,D7,65,1.0039230532827956
133,D7,70,1.0039230532827956
134,D7,75,1.0039230532827956
135,D7,80,1.0043562757123747
136,D7,85,1.0048762020140833
137,D7,90,1.0048762020140833
138,D7,95,1.005128296491611
139,D7,100,1.005128296491611
140,D8,5,0.7895624014299233
141,D8,10,0.8609319735043633
142,D8,15,0.9024741877825676
143,D8,20,0.9398704657764694
144,D8,25,0.9405219219850699
145,D8,30,0.9410493113237304
146,D8,35,0.9554932183787194
147,D8,40,0.9554932183787194
148,D8,45,0.9554932183787194
149,D8,50,0.9742210072547576
150,D8,55,0.9747143307748922
151,D8,60,0.9761972452949217
152,D8,65,0.9778017032909264
153,D8,70,0.9803213121648617
154,D8,75,0.9803213121648617
155,D8,80,0.9803213121648617
156,D8,85,0.9803213121648617
157,D8,90,0.9826457785721796
158,D8,95,0.985237724739775
159,D8,100,0.9877535485227631
160,D9,5,0.9685184658237613
161,D9,10,0.9814050740835591
162,D9,15,0.9879796935483701
163,D9,20,0.9883150429831135
164,D9,25,0.9957620768479262
165,D9,30,0.9958044434327051
166,D9,35,0.9958044434327051
167,D9,40,0.9959743313298787
168,D9,45,0.9959743313298787
169,D9,50,0.9959743313298787
170,D9,55,0.996494533972837
171,D9,60,0.996741145436476
172,D9,65,0.996741145436476
173,D9,70,0.9975433704199034
174,D9,75,0.9981179540522795
175,D9,80,0.9981179540522795
176,D9,85,0.9984444507678153
177,D9,90,0.9984444507678153
178,D9,95,0.9984444507678153
179,D9,100,0.9984444507678153
180,D10,5,0.6919058395851525
181,D10,10,0.9088376071422207
182,D10,15,0.9321645847069515
183,D10,20,0.9871857013026357
184,D10,25,0.9871857013026357
185,D10,30,0.9871857013026357
186,D10,35,0.9871857013026357
187,D10,40,0.9871910472762264
188,D10,45,0.9871967496480567
189,D10,50,0.9871967496480567
190,D10,55,0.9872020956216477
191,D10,60,0.9872020956216477
192,D10,65,0.9872131439670689
193,D10,70,0.9872676728976959
194,D10,75,0.9872676728976959
195,D10,80,0.9872676728976959
196,D10,85,0.9872676728976959
197,D10,90,0.9872676728976959
198,D10,95,0.9874002530427501
199,D10,100,0.9875887877113887
