,Dataset,Max Trials,F1 Ratio
114,D6,75,0.9060258840165035
115,D6,80,0.9075939283094397
116,D6,85,0.9075939283094397
117,D6,90,0.9075939283094397
118,D6,95,0.9223738411442343
119,D6,100,0.9223738411442343
120,D7,5,0.8790712590025789
121,D7,10,0.9439126903884898
122,D7,15,0.9509888546923274
123,D7,20,0.9509888546923274
124,D7,25,0.9509888546923274
125,D7,30,0.9893202802435428
126,D7,35,0.9893202802435428
127,D7,40,0.9904765298259834
128,D7,45,0.9904765298259834
129,D7,50,0.990563233698113
130,D7,55,0.990563233698113
131,D7,60,0.9924552784693798
132,D7,65,0.9937837480718038
133,D7,70,0.9937837480718038
134,D7,75,0.9937837480718038
135,D7,80,0.993995459923956
136,D7,85,0.993995459923956
137,D7,90,0.9955130746172929
138,D7,95,0.9955130746172929
139,D7,100,0.9955130746172929
140,D8,5,0.7895624014299233
141,D8,10,0.8609319735043633
142,D8,15,0.8639020082010304
143,D8,20,0.8639020082010304
144,D8,25,0.8739522657974976
145,D8,30,0.881039217747871
146,D8,35,0.9112547576490378
147,D8,40,0.9112833561139732
148,D8,45,0.9112833561139732
149,D8,50,0.9112833561139732
150,D8,55,0.9120084113132162
151,D8,60,0.9120084113132162
152,D8,65,0.9120084113132162
153,D8,70,0.9120084113132162
154,D8,75,0.9214917463989065
155,D8,80,0.9214917463989065
156,D8,85,0.9323507517611186
157,D8,90,0.9323507517611186
158,D8,95,0.9323507517611186
159,D8,100,0.9323507517611186
160,D9,5,0.9685184658237613
161,D9,10,0.9814050740835591
162,D9,15,0.9856746140899457
163,D9,20,0.9856746140899457
164,D9,25,0.9903060616886985
165,D9,30,0.9908589350811131
166,D9,35,0.9908589350811131
167,D9,40,0.9966484026638254
168,D9,45,0.9966484026638254
169,D9,50,0.9966484026638254
170,D9,55,0.9966484026638254
171,D9,60,0.9966484026638254
172,D9,65,0.9966484026638254
173,D9,70,0.9966484026638254
174,D9,75,0.9966484026638254
175,D9,80,0.9966484026638254
176,D9,85,0.9966484026638254
177,D9,90,0.9966484026638254
178,D9,95,0.9966484026638254
179,D9,100,0.9976139813945352
180,D10,5,0.6919058395851525
181,D10,10,0.9088376071422207
182,D10,15,0.9260566316802396
183,D10,20,0.9260566316802396
184,D10,25,0.9681985850989895
185,D10,30,0.9681985850989895
186,D10,35,0.9681985850989895
187,D10,40,0.9681985850989895
188,D10,45,0.9681985850989895
189,D10,50,0.9711887663274943
190,D10,55,0.9711887663274943
191,D10,60,0.9768783078211594
192,D10,65,0.9768783078211594
193,D10,70,0.9801546768358965
194,D10,75,0.9895286633284033
195,D10,80,0.9926450095336529
196,D10,85,0.9926450095336529
197,D10,90,0.9926450095336529
198,D10,95,0.9926450095336529
199,D10,100,0.9929458096477005
