,Dataset,Max Trials,F1 Ratio
114,D6,75,0.9519286878416818
115,D6,80,0.9519286878416818
116,D6,85,0.9533759090773302
117,D6,90,0.9533759090773302
118,D6,95,0.9533759090773302
119,D6,100,0.9566451021851049
120,D7,5,0.8790712590025789
121,D7,10,0.9439126903884898
122,D7,15,0.9482452116153495
123,D7,20,0.9543925755355525
124,D7,25,0.9579459496375213
125,D7,30,0.9670822216976439
126,D7,35,0.9764126866768513
127,D7,40,0.9823661546090382
128,D7,45,0.9855774641195919
129,D7,50,0.9900017370467533
130,D7,55,0.9905754078719395
131,D7,60,0.9905754078719395
132,D7,65,0.9909816095742454
133,D7,70,0.9912794314363891
134,D7,75,0.9915650791247066
135,D7,80,0.9934437619978709
136,D7,85,0.9936352825373352
137,D7,90,0.9936352825373352
138,D7,95,0.9937077337181561
139,D7,100,0.9937077337181561
140,D8,5,0.7895624014299233
141,D8,10,0.8609319735043633
142,D8,15,0.8827362001892545
143,D8,20,0.8958565871096623
144,D8,25,0.9058164230890547
145,D8,30,0.9612002943959626
146,D8,35,0.9652452949216697
147,D8,40,0.9652452949216697
148,D8,45,0.9818681526653349
149,D8,50,0.9865360109347072
150,D8,55,0.9909267164336032
151,D8,60,0.9911374198296709
152,D8,65,0.9911374198296709
153,D8,70,0.9917148564819683
154,D8,75,0.9963974345494692
155,D8,80,0.9965946798443909
156,D8,85,0.9965946798443909
157,D8,90,0.9965946798443909
158,D8,95,1.0004529492166965
159,D8,100,1.0006779518452318
160,D9,5,0.9685184658237613
161,D9,10,0.9814050740835591
162,D9,15,0.9905178946125934
163,D9,20,0.991099644731947
164,D9,25,0.9914324648183453
165,D9,30,0.9918479102840143
166,D9,35,0.9918898553107358
167,D9,40,0.9918898553107358
168,D9,45,0.9967230184400034
169,D9,50,0.9967230184400034
170,D9,55,0.996752105945971
171,D9,60,0.9969217830641158
172,D9,65,0.9969217830641158
173,D9,70,0.9969217830641158
174,D9,75,0.9969217830641158
175,D9,80,0.9969217830641158
176,D9,85,0.9969217830641158
177,D9,90,0.9969217830641158
178,D9,95,0.9979267774732021
179,D9,100,0.9980117214217888
180,D10,5,0.6919058395851525
181,D10,10,0.9088376071422207
182,D10,15,0.9638006308248838
183,D10,20,0.9649721118377677
184,D10,25,0.9746511752231946
185,D10,30,0.9859023112425827
186,D10,35,0.9862982696865479
187,D10,40,0.9862982696865479
188,D10,45,0.9862982696865479
189,D10,50,0.9862982696865479
190,D10,55,0.9863135948108417
191,D10,60,0.9863135948108417
192,D10,65,0.9863189407844326
193,D10,70,0.9863189407844326
194,D10,75,0.9883179785091862
195,D10,80,0.99020546358501
196,D10,85,0.9949665876650571
197,D10,90,0.9949665876650571
198,D10,95,0.9970240747010711
199,D10,100,0.9988331521642284
