trial,dataset,clustering,lm,k,threshold,sampler,seed,precision,recall,f1,runtime
14,D8,ConnectedComponentsClustering,sent_glove,82,0.66875,qmc,4096,15.3846,0.2345,0.4619,10.0594
15,D8,KiralyMSMApproximateClustering,sdistilroberta,57,0.4437499999999999,qmc,4096,26.4851,62.7198,37.2433,14.4407
16,D8,UniqueMappingClustering,sent_glove,7,0.8937499999999999,qmc,4096,21.6636,27.7843,24.3451,1.3657
17,D8,ConnectedComponentsClustering,word2vec,10,0.47187499999999993,qmc,4096,0,0,0,1.913
18,D8,ConnectedComponentsClustering,fasttext,60,0.921875,qmc,4096,48.1481,1.524,2.9545,8.0651
19,D8,ConnectedComponentsClustering,fasttext,85,0.24687499999999996,qmc,4096,0,0,0,10.1894
20,D8,UniqueMappingClustering,st5,35,0.696875,qmc,4096,23.7402,70.6917,35.5438,8.2027
21,D8,KiralyMSMApproximateClustering,sminilm,47,0.134375,qmc,4096,27.0391,64.1266,38.0389,11.4516
22,D8,ConnectedComponentsClustering,st5,97,0.584375,qmc,4096,0,0,0,12.4349
23,D8,KiralyMSMApproximateClustering,fasttext,72,0.35937499999999994,qmc,4096,9.596,20.0469,12.9791,15.9435
24,D8,UniqueMappingClustering,sdistilroberta,22,0.809375,qmc,4096,30.8943,57.9132,40.2936,2.8468
25,D8,UniqueMappingClustering,sdistilroberta,16,0.190625,qmc,4096,21.5856,64.4783,32.3434,4.7519
26,D8,ConnectedComponentsClustering,sent_glove,66,0.640625,qmc,4096,22.2222,0.2345,0.464,8.6211
27,D8,ConnectedComponentsClustering,sent_glove,91,0.41562499999999997,qmc,4096,0,0,0,11.2055
28,D8,ConnectedComponentsClustering,st5,41,0.865625,qmc,4096,47.619,11.7233,18.8147,5.8905
29,D8,KiralyMSMApproximateClustering,smpnet,29,0.303125,qmc,4096,24.7053,58.9683,34.8217,8.6388
30,D8,ConnectedComponentsClustering,fasttext,79,0.7531249999999999,qmc,4096,0.0,0.0,0.0,9.7231
31,D8,ConnectedComponentsClustering,st5,54,0.078125,qmc,4096,0,0,0,7.3865
32,D8,KiralyMSMApproximateClustering,smpnet,4,0.528125,qmc,4096,24.5862,59.2028,34.7437,1.7789
33,D8,KiralyMSMApproximateClustering,sminilm,5,0.2890625,qmc,4096,26.0745,64.0094,37.0546,2.4971
34,D8,KiralyMSMApproximateClustering,st5,55,0.7390625,qmc,4096,28.8835,69.7538,40.8514,8.9811
35,D8,KiralyMSMApproximateClustering,word2vec,80,0.0640625,qmc,4096,16.7311,35.5217,22.7477,18.0708
36,D8,UniqueMappingClustering,sminilm,30,0.5140625,qmc,4096,22.359,66.0023,33.4026,6.0034
37,D8,UniqueMappingClustering,st5,43,0.1765625,qmc,4096,23.61,70.6917,35.3977,11.2366
38,D8,ConnectedComponentsClustering,sminilm,93,0.6265625,qmc,4096,36.8421,0.8206,1.6055,13.604
39,D8,KiralyMSMApproximateClustering,smpnet,68,0.40156249999999993,qmc,4096,25.0998,58.9683,35.2118,15.7319
40,D8,KiralyMSMApproximateClustering,fasttext,18,0.8515625,qmc,4096,9.9592,20.0469,13.3074,4.4072
41,D8,ConnectedComponentsClustering,sent_glove,24,0.1203125,qmc,4096,0,0,0,3.6717
42,D8,KiralyMSMApproximateClustering,sdistilroberta,74,0.5703125,qmc,4096,26.6302,62.7198,37.3864,11.9222
43,D8,ConnectedComponentsClustering,smpnet,99,0.34531249999999997,qmc,4096,0,0,0,12.6492
44,D8,KiralyMSMApproximateClustering,sent_glove,49,0.7953125,qmc,4096,18.1649,34.3494,23.7632,9.0144
45,D8,UniqueMappingClustering,fasttext,36,0.45781249999999996,qmc,4096,7.2405,21.102,10.7817,8.7771
46,D8,KiralyMSMApproximateClustering,st5,86,0.9078124999999999,qmc,4096,40.1562,60.2579,48.195,7.6698
47,D8,ConnectedComponentsClustering,st5,61,0.23281249999999998,qmc,4096,0,0,0,8.1071
48,D8,KiralyMSMApproximateClustering,sdistilroberta,11,0.6828124999999999,qmc,4096,27.5737,62.4853,38.2627,2.2877
49,D8,UniqueMappingClustering,sent_glove,8,0.2609375,qmc,4096,13.1965,36.9285,19.4444,3.4406
50,D8,KiralyMSMApproximateClustering,fasttext,58,0.7109375,qmc,4096,9.6197,20.1641,13.0254,14.4631
51,D8,ConnectedComponentsClustering,st5,83,0.48593749999999997,qmc,4096,0,0,0,10.9307
52,D8,KiralyMSMApproximateClustering,smpnet,33,0.9359375,qmc,4096,53.5817,21.9226,31.1148,3.5273
