TEST_SET,DATASET,REGRESSOR,OPTIMIZATION_TIME,BEST_REGRESSOR_PREDICTION_TIME,BEST_REGRESSOR_FIT_TIME
D8,all,XGBRegressor,46705.8111,0.0679,266.1391
D8,gridsearch,Lasso,114786.3965,0.0699,2651.044
D8,gridsearch,LinearRegression,0.4362,0.0238,0.4698
D8,gridsearch,NN,16656.523,0.4176,497.5833
D8,gridsearch,RandomForestRegressor,4453.0628,1.8909,179.1631
D8,gridsearch,Ridge,11.1241,0.0266,0.0393
D8,gridsearch,XGBRegressor,79364.0628,0.21,1548.7496
D8,optuna,Lasso,114338.9987,0.0011,2627.7607
D8,optuna,LinearRegression,0.9463,0.0014,0.8508
D8,optuna,NN,9444.2769,0.2921,240.6754
D8,optuna,RandomForestRegressor,2940.6945,0.9151,97.8676
D8,optuna,Ridge,7.4267,0.0011,0.1684
D8,optuna,XGBRegressor,82367.5953,0.084,1151.6393
D9,all,Lasso,109473.0754,0.0353,2668.3286
D9,all,LinearRegression,1.2061,0.046,0.9458
D9,all,NN,26894.0338,0.5586,705.2509
D9,all,RandomForestRegressor,5639.3148,0.4088,38.8682
D9,all,Ridge,10.6588,0.0386,0.1449
D9,all,XGBRegressor,30427.662,0.1101,671.119
D9,gridsearch,Lasso,111055.2662,0.0435,2541.8
D9,gridsearch,LinearRegression,1.6984,0.0902,1.1996
D9,gridsearch,NN,11772.5436,0.4345,237.9504
D9,gridsearch,RandomForestRegressor,3290.615,0.7015,56.9342
D9,gridsearch,Ridge,9.887,0.0352,0.1739
D9,gridsearch,XGBRegressor,28673.4413,0.0632,369.5228
D9,optuna,Lasso,110471.5548,0.0011,2535.9923
D9,optuna,LinearRegression,1.2374,0.0013,0.8307
D9,optuna,NN,9531.8622,0.3036,234.9329
D9,optuna,RandomForestRegressor,2681.6149,0.6862,75.1076
D9,optuna,Ridge,7.1916,0.0011,0.1464
D9,optuna,XGBRegressor,27531.5568,0.0527,561.8474
