TEST_SET,DATASET,EXPERIMENT,REGRESSOR,VALIDATION_MSE,TEST_MSE,PREDICTED_F1,GLOBAL_BEST_F1,PERFORMANCE,OPTIMIZATION_TIME,BEST_REGRESSOR_FIT_TIME,BEST_REGRESSOR_PREDICTION_TIME,WITH_DATA_FEATURES,LM,K,CLUSTERING,THRESHOLD,ETEER_RUNTIME
D3,gridsearch,DL-SKLEARN,Ridge,284.6524,116553.155,55.9823,59.1887,0.9458,11.9674,0.0619,0.0272,1,,,,,
D4,gridsearch,DL-SKLEARN,Ridge,245.8988,5176.5905,98.3769,98.6011,0.9977,12.2903,0.1254,0.0667,1,,,,,
D5,gridsearch,DL-SKLEARN,Ridge,250.2562,692.4504,69.3934,78.9235,0.8792,10.9911,0.2875,0.0833,1,,,,,
D6,gridsearch,DL-SKLEARN,Ridge,272.06,603.9419,43.8459,60.4225,0.7257,11.8474,0.1388,0.0512,1,,,,,
D7,gridsearch,DL-SKLEARN,Ridge,257.6037,470.3671,48.4848,67.76,0.7155,11.5181,0.0564,0.0628,1,,,,,
D8,gridsearch,DL-SKLEARN,Ridge,281.3943,11744.6087,38.0861,49.5337,0.7689,11.1241,0.0393,0.0266,1,,,,,
D9,gridsearch,DL-SKLEARN,Ridge,223.6473,171277.9659,92.8452,94.9241,0.9781,9.887,0.1739,0.0352,1,,,,,
D10,gridsearch,DL-SKLEARN,Ridge,263.6473,32335151.6829,55.3994,56.117,0.9872,10.0743,0.1078,0.0431,1,,,,,
D1,all,DL-SKLEARN,XGBRegressor,0.3141,874.3386,14.9533,78.4314,0.1907,108958.672,3255.6326,0.5034,1,,,,,
D2,all,DL-SKLEARN,XGBRegressor,0.2018,1249.6528,77.2575,85.8486,0.8999,98643.9037,1771.1464,0.2954,1,,,,,
D3,all,DL-SKLEARN,XGBRegressor,0.2678,372.953,45.1856,59.1887,0.7634,111743.5389,3970.153,0.4821,1,,,,,
D4,all,DL-SKLEARN,XGBRegressor,0.0725,2001.2603,97.4041,98.6011,0.9879,94175.4612,1905.3577,0.3563,1,,,,,
D5,all,DL-SKLEARN,XGBRegressor,0.1331,396.8501,35.2084,78.9235,0.4461,96243.5389,1951.166,0.33,1,,,,,
D6,all,DL-SKLEARN,XGBRegressor,0.1962,352.9638,45.2244,60.4225,0.7485,98171.183,2049.8536,0.3343,1,,,,,
D7,all,DL-SKLEARN,XGBRegressor,0.3925,332.75,57.5722,67.76,0.8496,77902.0978,548.6558,0.1283,1,,,,,
D8,all,DL-SKLEARN,XGBRegressor,0.2793,335.0176,38.0983,49.5337,0.7691,46705.8111,266.1391,0.0679,1,,,,,
D9,all,DL-SKLEARN,XGBRegressor,0.206,2524.2461,92.8452,94.9241,0.9781,30427.662,671.119,0.1101,1,,,,,
D10,all,DL-SKLEARN,XGBRegressor,0.1327,294.6406,0.2883,56.117,0.0051,17825.7751,2.8574,0.0344,1,,,,,
D1,optuna,DL-SKLEARN,RandomForestRegressor,88.7365,407.884,56.7742,78.4314,0.7239,1851.4139,31.6342,0.2879,1,,,,,
D2,optuna,DL-SKLEARN,RandomForestRegressor,82.274,548.1504,78.4566,85.8486,0.9139,2717.7467,74.916,0.6696,1,,,,,
D3,optuna,DL-SKLEARN,RandomForestRegressor,90.4631,639.1842,56.0706,59.1887,0.9473,2917.8228,105.1953,0.9375,1,,,,,
D4,optuna,DL-SKLEARN,RandomForestRegressor,87.4395,2002.7846,98.1761,98.6011,0.9957,2346.2065,45.9955,0.4469,1,,,,,
D5,optuna,DL-SKLEARN,RandomForestRegressor,84.722,369.1141,76.9588,78.9235,0.9751,2395.7917,91.5009,0.8181,1,,,,,
D6,optuna,DL-SKLEARN,RandomForestRegressor,91.9507,376.4498,41.3707,60.4225,0.6847,2198.5986,21.8822,0.2085,1,,,,,
D7,optuna,DL-SKLEARN,RandomForestRegressor,89.1187,271.3531,62.1979,67.76,0.9179,2178.7676,38.8226,0.3609,1,,,,,
D8,optuna,DL-SKLEARN,RandomForestRegressor,101.3946,637.1424,40.7814,49.5337,0.8233,2940.6945,97.8676,0.9151,1,,,,,
D9,optuna,DL-SKLEARN,RandomForestRegressor,72.2265,1510.7514,94.3686,94.9241,0.9941,2681.6149,75.1076,0.6862,1,,,,,
D10,optuna,DL-SKLEARN,RandomForestRegressor,95.6149,400.5354,4.2453,56.117,0.0757,2365.0389,57.6562,0.5549,1,,,,,
D1,optuna,DL-SKLEARN,LinearRegression,544.4438,547.9948,55.3459,78.4314,0.7057,0.0523,0.0223,0.0011,0,st5,1.0,KiralyMSMApproximateClustering,0.05,0.2369
D2,optuna,DL-SKLEARN,LinearRegression,552.8827,419.6181,81.9401,85.8486,0.9545,0.0495,0.0216,0.0011,0,st5,1.0,KiralyMSMApproximateClustering,0.05,0.2036
D3,optuna,DL-SKLEARN,LinearRegression,571.387,245.9041,55.9823,59.1887,0.9458,0.1048,0.0218,0.0011,0,st5,1.0,KiralyMSMApproximateClustering,0.05,0.4788
D4,optuna,DL-SKLEARN,LinearRegression,397.4193,1995.318,98.1761,98.6011,0.9957,0.0476,0.0215,0.0012,0,st5,100.0,KiralyMSMApproximateClustering,0.05,9.2873
D5,optuna,DL-SKLEARN,LinearRegression,569.5459,263.5872,69.3934,78.9235,0.8792,0.0472,0.021,0.0011,0,st5,1.0,KiralyMSMApproximateClustering,0.05,0.7913
D6,optuna,DL-SKLEARN,LinearRegression,551.2743,439.1771,43.8459,60.4225,0.7257,0.0493,0.0213,0.0011,0,st5,1.0,KiralyMSMApproximateClustering,0.05,1.3672
D7,optuna,DL-SKLEARN,LinearRegression,566.5076,281.4961,48.4848,67.76,0.7155,0.0467,0.0212,0.0011,0,st5,1.0,KiralyMSMApproximateClustering,0.05,1.6235
D8,optuna,DL-SKLEARN,LinearRegression,531.8614,652.0668,38.0861,49.5337,0.7689,0.046,0.0211,0.0011,0,st5,1.0,KiralyMSMApproximateClustering,0.05,1.6269
D9,optuna,DL-SKLEARN,LinearRegression,504.4922,897.8795,92.8452,94.9241,0.9781,0.0502,0.021,0.0011,0,st5,1.0,KiralyMSMApproximateClustering,0.05,4.2272
