FEATURE,IMPORTANCE,DATASET,REGRESSOR,TEST_SET
lm_st5,0.094196350527927,optuna,RIDGE,D8
lm_word2vec,0.0244589196304,optuna,RIDGE,D8
k,0.0293230623526487,optuna,RIDGE,D3
threshold,0.1204806263272691,optuna,RIDGE,D3
InputEntityProfiles,0.0378703478314939,optuna,RIDGE,D3
NumberOfAttributes,0.083002954746112,optuna,RIDGE,D3
NumberOfDistinctValues,0.0237655977955445,optuna,RIDGE,D3
NumberOfNameValuePairs,0.0226375039603613,optuna,RIDGE,D3
AverageNVPairsPerEntity,0.0451420271720542,optuna,RIDGE,D3
AverageDistinctValuesPerEntity,0.0526867430374302,optuna,RIDGE,D3
AverageNVpairsPerAttribute,0.0434013838107454,optuna,RIDGE,D3
AverageDistinctValuesPerAttribute,0.0415668627528664,optuna,RIDGE,D3
NumberOfMissingNVpairs,0.0663888727560343,optuna,RIDGE,D3
AverageValueLength,0.0315410300158342,optuna,RIDGE,D3
AverageValueTokens,0.0309761108924241,optuna,RIDGE,D3
MaxValuesPerEntity,0.080842581221838,optuna,RIDGE,D3
clustering_KiralyMSMApproximateClustering,0.0567379372326293,optuna,RIDGE,D3
clustering_UniqueMappingClustering,0.0518731523019155,optuna,RIDGE,D3
lm_sdistilroberta,0.0107533482767124,optuna,RIDGE,D3
lm_sent_glove,0.0136413254701995,optuna,RIDGE,D3
lm_sminilm,0.028195540371739,optuna,RIDGE,D3
lm_smpnet,0.0169222158746851,optuna,RIDGE,D3
lm_st5,0.0894707681477864,optuna,RIDGE,D3
lm_word2vec,0.0227800076516754,optuna,RIDGE,D3
k,0.0021548924667406,gridsearch,RIDGE,D2
threshold,0.1293633719951246,gridsearch,RIDGE,D2
InputEntityProfiles,0.0335067898282761,gridsearch,RIDGE,D2
NumberOfAttributes,0.0470672221899536,gridsearch,RIDGE,D2
NumberOfDistinctValues,0.0500457852664724,gridsearch,RIDGE,D2
NumberOfNameValuePairs,0.0276439943794557,gridsearch,RIDGE,D2
AverageNVPairsPerEntity,0.0361645218197742,gridsearch,RIDGE,D2
AverageDistinctValuesPerEntity,0.0666517901028537,gridsearch,RIDGE,D2
AverageNVpairsPerAttribute,0.0550031910648303,gridsearch,RIDGE,D2
AverageDistinctValuesPerAttribute,0.0423014929034384,gridsearch,RIDGE,D2
NumberOfMissingNVpairs,0.0994134902844938,gridsearch,RIDGE,D2
AverageValueLength,0.0429759289657389,gridsearch,RIDGE,D2
AverageValueTokens,0.0619845197703264,gridsearch,RIDGE,D2
MaxValuesPerEntity,0.0528039307184901,gridsearch,RIDGE,D2
clustering_KiralyMSMApproximateClustering,0.072627003338262,gridsearch,RIDGE,D2
clustering_UniqueMappingClustering,0.0622640116960425,gridsearch,RIDGE,D2
lm_sdistilroberta,0.016657623082179,gridsearch,RIDGE,D2
lm_sent_glove,0.0072438562035587,gridsearch,RIDGE,D2
lm_sminilm,0.0244238009909269,gridsearch,RIDGE,D2
lm_smpnet,0.019087935650602,gridsearch,RIDGE,D2
lm_st5,0.037687424582165,gridsearch,RIDGE,D2
lm_word2vec,0.0129274227002938,gridsearch,RIDGE,D2
k,0.0292274743217334,optuna,RIDGE,D9
threshold,0.1273652198767903,optuna,RIDGE,D9
InputEntityProfiles,0.0484493231510526,optuna,RIDGE,D9
