sampler,dataset,max_trials,f1,f1_ratio
TPESampler,D10,50,55.3481,0.986298269686548
TPESampler,D10,55,55.34896,0.9863135948108416
TPESampler,D10,60,55.34896,0.9863135948108416
TPESampler,D10,65,55.34926,0.9863189407844326
TPESampler,D10,70,55.34926,0.9863189407844326
TPESampler,D10,75,55.46144,0.9883179785091862
TPESampler,D10,80,55.56736000000001,0.99020546358501
TPESampler,D10,85,55.83454,0.9949665876650572
TPESampler,D10,90,55.83454,0.9949665876650572
TPESampler,D10,95,55.95,0.9970240747010712
TPESampler,D10,100,56.05152,0.9988331521642284
GPSampler,D2,5,76.76376,0.8941760261669963
GPSampler,D2,10,80.63904,0.9393168904326918
GPSampler,D2,15,81.9825,0.9549660681711756
GPSampler,D2,20,83.94628,0.9778409898355944
GPSampler,D2,25,84.64298,0.9859564395924918
GPSampler,D2,30,85.25962000000001,0.9931393173563692
GPSampler,D2,35,85.26752,0.9932313398238294
GPSampler,D2,40,85.26752,0.9932313398238294
GPSampler,D2,45,85.26752,0.9932313398238294
GPSampler,D2,50,85.26752,0.9932313398238294
GPSampler,D2,55,85.26752,0.9932313398238294
GPSampler,D2,60,85.26752,0.9932313398238294
GPSampler,D2,65,85.34434,0.9941261709567774
GPSampler,D2,70,85.35496,0.9942498771092364
GPSampler,D2,75,85.35496,0.9942498771092364
GPSampler,D2,80,85.49866,0.9959237541439232
GPSampler,D2,85,85.49866,0.9959237541439232
GPSampler,D2,90,85.49866,0.9959237541439232
GPSampler,D2,95,85.49866,0.9959237541439232
GPSampler,D2,100,85.49866,0.9959237541439232
QMCSampler,D8,5,32.2354,0.6778551151298496
QMCSampler,D8,10,41.22926,0.8669805488381873
QMCSampler,D8,15,41.7175,0.8772473977499736
QMCSampler,D8,20,41.7175,0.8772473977499736
QMCSampler,D8,25,41.7175,0.8772473977499736
QMCSampler,D8,30,41.85456,0.8801295342235307
QMCSampler,D8,35,41.9416,0.8819598359793923
QMCSampler,D8,40,41.9416,0.8819598359793923
QMCSampler,D8,45,41.98282,0.8828266218063294
QMCSampler,D8,50,44.14506,0.9282948165282304
QMCSampler,D8,55,45.98396,0.9669637262117547
QMCSampler,D8,60,45.98396,0.9669637262117547
QMCSampler,D8,65,45.98396,0.9669637262117547
QMCSampler,D8,70,45.98396,0.9669637262117547
QMCSampler,D8,75,45.98396,0.9669637262117547
QMCSampler,D8,80,46.21722,0.971868783513826
QMCSampler,D8,85,46.21722,0.971868783513826
QMCSampler,D8,90,46.21722,0.971868783513826
QMCSampler,D8,95,46.21722,0.971868783513826
QMCSampler,D8,100,46.21722,0.971868783513826
GPSampler,D9,5,91.89894,0.9685184658237612
GPSampler,D9,10,93.1217,0.9814050740835591
GPSampler,D9,15,93.74554,0.98797969354837
GPSampler,D9,20,93.77736,0.9883150429831136
GPSampler,D9,25,94.48398,0.9957620768479262
GPSampler,D9,30,94.488,0.9958044434327052
GPSampler,D9,35,94.488,0.9958044434327052
GPSampler,D9,40,94.50412,0.9959743313298788
GPSampler,D9,45,94.50412,0.9959743313298788
GPSampler,D9,50,94.50412,0.9959743313298788
GPSampler,D9,55,94.55348,0.996494533972837
GPSampler,D9,60,94.57688,0.996741145436476
GPSampler,D9,65,94.57688,0.996741145436476
GPSampler,D9,70,94.653,0.9975433704199034
GPSampler,D9,75,94.70752,0.9981179540522797
GPSampler,D9,80,94.70752,0.9981179540522797
GPSampler,D9,85,94.7385,0.9984444507678152
GPSampler,D9,90,94.7385,0.9984444507678152
GPSampler,D9,95,94.7385,0.9984444507678152
GPSampler,D9,100,94.7385,0.9984444507678152
QMCSampler,D5,5,66.44272,0.8439796508119987
QMCSampler,D5,10,71.7568,0.911481032194143
QMCSampler,D5,15,73.18692,0.9296469377774672
QMCSampler,D5,20,73.18692,0.9296469377774672
QMCSampler,D5,25,73.25326,0.9304896126413932
QMCSampler,D5,30,73.25326,0.9304896126413932
QMCSampler,D5,35,74.90990000000001,0.9515328578414872
QMCSampler,D5,40,74.90990000000001,0.9515328578414872
QMCSampler,D5,45,74.90990000000001,0.9515328578414872
QMCSampler,D5,50,74.90990000000001,0.9515328578414872
QMCSampler,D5,55,75.79784,0.9628117954157166
QMCSampler,D5,60,75.79784,0.9628117954157166
QMCSampler,D5,65,75.79784,0.9628117954157166
QMCSampler,D5,70,75.79784,0.9628117954157166
QMCSampler,D5,75,75.79784,0.9628117954157166
QMCSampler,D5,80,75.79784,0.9628117954157166
QMCSampler,D5,85,75.93716,0.9645814888441484
QMCSampler,D5,90,75.93716,0.9645814888441484
QMCSampler,D5,95,75.94286,0.9646538923220558
QMCSampler,D5,100,76.09008,0.9665239344303944
GPSampler,D6,5,41.0309,0.680972360065988
GPSampler,D6,10,44.54964,0.739371388170626
GPSampler,D6,15,52.2634,0.8673933753116008
GPSampler,D6,20,55.4633,0.9205007518247934
GPSampler,D6,25,55.7221,0.9247959451250884
GPSampler,D6,30,56.74664,0.9417997988495256
GPSampler,D6,35,57.60576,0.95605824733542
GPSampler,D6,40,58.20744,0.966044073861392
GPSampler,D6,45,58.553920000000005,0.9717944547527608
GPSampler,D6,50,58.68244,0.9739274464179616
GPSampler,D6,55,60.03374,0.9963543965983662
GPSampler,D6,60,60.21151999999999,0.9993049354891176
GPSampler,D6,65,60.21151999999999,0.9993049354891176
GPSampler,D6,70,60.21151999999999,0.9993049354891176
GPSampler,D6,75,60.21151999999999,0.9993049354891176
GPSampler,D6,80,60.21151999999999,0.9993049354891176
GPSampler,D6,85,60.21151999999999,0.9993049354891176
GPSampler,D6,90,60.21151999999999,0.9993049354891176
GPSampler,D6,95,60.21332,0.9993348093219636
GPSampler,D6,100,60.21332,0.9993348093219636
RandomSampler,D7,5,59.21046,0.8790712590025789
RandomSampler,D7,10,63.5779,0.9439126903884898
RandomSampler,D7,15,64.05452,0.9509888546923274
RandomSampler,D7,20,64.05452,0.9509888546923274
RandomSampler,D7,25,64.05452,0.9509888546923274
RandomSampler,D7,30,66.63636,0.9893202802435428
RandomSampler,D7,35,66.63636,0.9893202802435428
RandomSampler,D7,40,66.71423999999999,0.9904765298259834
RandomSampler,D7,45,66.71423999999999,0.9904765298259834
RandomSampler,D7,50,66.72008,0.990563233698113
RandomSampler,D7,55,66.72008,0.990563233698113
RandomSampler,D7,60,66.84752,0.9924552784693798
RandomSampler,D7,65,66.937,0.9937837480718038
RandomSampler,D7,70,66.937,0.9937837480718038
RandomSampler,D7,75,66.937,0.9937837480718038
RandomSampler,D7,80,66.95126,0.993995459923956
RandomSampler,D7,85,66.95126,0.993995459923956
RandomSampler,D7,90,67.05348,0.9955130746172928
RandomSampler,D7,95,67.05348,0.9955130746172928
RandomSampler,D7,100,67.05348,0.9955130746172928
GPSampler,D1,5,54.41058,0.7203655673960275
GPSampler,D1,10,66.0173,0.874032031499274
GPSampler,D1,15,66.49683999999999,0.8803808721877776
GPSampler,D1,20,67.33066,0.8914201814067964
GPSampler,D1,25,67.58171999999999,0.8947440750199585
GPSampler,D1,30,67.58171999999999,0.8947440750199585
GPSampler,D1,35,68.51254,0.9070676098443176
GPSampler,D1,40,68.76734,0.910441018960201
GPSampler,D1,45,68.91936,0.912453678511993
GPSampler,D1,50,68.91936,0.912453678511993
GPSampler,D1,55,68.91936,0.912453678511993
GPSampler,D1,60,69.1831,0.9159454482145954
GPSampler,D1,65,69.35992,0.9182864458592992
GPSampler,D1,70,70.92945999999999,0.939066275308843
GPSampler,D1,75,71.11016,0.9414586419777604
GPSampler,D1,80,73.53058,0.973503645479592
GPSampler,D1,85,75.02141999999999,0.9932415310617104
GPSampler,D1,90,75.02141999999999,0.9932415310617104
GPSampler,D1,95,75.02141999999999,0.9932415310617104
GPSampler,D1,100,77.17793999999999,1.0217926465506626
GPSampler,D7,5,59.21046,0.8790712590025789
GPSampler,D7,10,63.5779,0.9439126903884898
GPSampler,D7,15,64.23156,0.9536172885145578
GPSampler,D7,20,64.98302,0.9647738795677278
GPSampler,D7,25,66.795,0.9916755374823512
GPSampler,D7,30,66.95036,0.993982098025854
GPSampler,D7,35,67.082,0.995936498321597
GPSampler,D7,40,67.29643999999999,0.9991201932427396
GPSampler,D7,45,67.30228,0.9992068971148692
GPSampler,D7,50,67.50778,1.002257863848197
GPSampler,D7,55,67.50778,1.002257863848197
GPSampler,D7,60,67.52802,1.0025583580899613
GPSampler,D7,65,67.61994,1.0039230532827956
GPSampler,D7,70,67.61994,1.0039230532827956
GPSampler,D7,75,67.61994,1.0039230532827956
GPSampler,D7,80,67.64912,1.0043562757123747
GPSampler,D7,85,67.68414,1.0048762020140831
GPSampler,D7,90,67.68414,1.0048762020140831
GPSampler,D7,95,67.70112,1.005128296491611
GPSampler,D7,100,67.70112,1.005128296491611
TPESampler,D9,5,91.89894,0.9685184658237612
TPESampler,D9,10,93.1217,0.9814050740835591
TPESampler,D9,15,93.98638,0.9905178946125934
TPESampler,D9,20,94.04158,0.991099644731947
TPESampler,D9,25,94.07316,0.9914324648183452
TPESampler,D9,30,94.11258,0.9918479102840144
TPESampler,D9,35,94.11656,0.9918898553107358
TPESampler,D9,40,94.11656,0.9918898553107358
TPESampler,D9,45,94.57516,0.9967230184400034
TPESampler,D9,50,94.57516,0.9967230184400034
TPESampler,D9,55,94.57792,0.996752105945971
TPESampler,D9,60,94.59402,0.9969217830641158
TPESampler,D9,65,94.59402,0.9969217830641158
TPESampler,D9,70,94.59402,0.9969217830641158
TPESampler,D9,75,94.59402,0.9969217830641158
TPESampler,D9,80,94.59402,0.9969217830641158
TPESampler,D9,85,94.59402,0.9969217830641158
TPESampler,D9,90,94.59402,0.9969217830641158
TPESampler,D9,95,94.68938,0.997926777473202
TPESampler,D9,100,94.69744,0.9980117214217888
RandomSampler,D5,5,67.3845,0.8559424836933396
RandomSampler,D5,10,70.65114,0.8974365358111412
RandomSampler,D5,15,72.21968,0.9173607026948066
RandomSampler,D5,20,72.50183999999999,0.9209448018748688
RandomSampler,D5,25,73.21692,0.9300280087138222
RandomSampler,D5,30,74.6889,0.9487256352770068
RandomSampler,D5,35,75.07072,0.9535756521076398
RandomSampler,D5,40,76.66544,0.9738323668950976
RandomSampler,D5,45,77.55666,0.9851529682250352
RandomSampler,D5,50,77.61132,0.9858472794710736
RandomSampler,D5,55,77.61132,0.9858472794710736
RandomSampler,D5,60,77.61132,0.9858472794710736
RandomSampler,D5,65,77.61132,0.9858472794710736
RandomSampler,D5,70,77.61132,0.9858472794710736
RandomSampler,D5,75,77.61132,0.9858472794710736
RandomSampler,D5,80,77.61132,0.9858472794710736
RandomSampler,D5,85,77.61132,0.9858472794710736
RandomSampler,D5,90,77.83619999999999,0.9887037872099892
RandomSampler,D5,95,77.83619999999999,0.9887037872099892
RandomSampler,D5,100,77.90304,0.9895528132561876
QMCSampler,D3,5,46.41658,0.784213540760314
QMCSampler,D3,10,54.50486,0.9208659761069258
QMCSampler,D3,15,56.49980000000001,0.9545707204246758
QMCSampler,D3,20,57.47772,0.9710927930500248
QMCSampler,D3,25,58.21976,0.9836296455235544
QMCSampler,D3,30,58.36684,0.9861145793031442
QMCSampler,D3,35,58.36684,0.9861145793031442
QMCSampler,D3,40,58.47655999999999,0.9879683115189216
QMCSampler,D3,45,58.47655999999999,0.9879683115189216
QMCSampler,D3,50,58.49592,0.9882954009802548
QMCSampler,D3,55,58.49592,0.9882954009802548
QMCSampler,D3,60,58.49592,0.9882954009802548
QMCSampler,D3,65,58.49592,0.9882954009802548
QMCSampler,D3,70,58.49592,0.9882954009802548
QMCSampler,D3,75,58.49592,0.9882954009802548
QMCSampler,D3,80,58.49592,0.9882954009802548
QMCSampler,D3,85,58.49592,0.9882954009802548
QMCSampler,D3,90,58.49592,0.9882954009802548
QMCSampler,D3,95,58.49592,0.9882954009802548
QMCSampler,D3,100,58.49592,0.9882954009802548
TPESampler,D6,5,41.0309,0.680972360065988
TPESampler,D6,10,44.54964,0.739371388170626
TPESampler,D6,15,51.54204,0.8554212708328492
TPESampler,D6,20,52.5203,0.8716570351216695
TPESampler,D6,25,53.69642,0.8911765975032115
TPESampler,D6,30,53.69642,0.8911765975032115
TPESampler,D6,35,54.1083,0.8980123943213163
TPESampler,D6,40,55.0835,0.9141973730942984
TPESampler,D6,45,55.37834,0.9190907069144646
TPESampler,D6,50,56.62926,0.9398516930164936
TPESampler,D6,55,56.7034,0.9410821629982706
TPESampler,D6,60,56.7034,0.9410821629982706
TPESampler,D6,65,56.75952,0.942013562720112
TPESampler,D6,70,57.19952000000001,0.949316055193566
TPESampler,D6,75,57.35694,0.9519286878416818
TPESampler,D6,80,57.35694,0.9519286878416818
TPESampler,D6,85,57.44414,0.9533759090773302
TPESampler,D6,90,57.44414,0.9533759090773302
TPESampler,D6,95,57.44414,0.9533759090773302
TPESampler,D6,100,57.64112,0.9566451021851048
GPSampler,D8,5,37.54764,0.7895624014299233
GPSampler,D8,10,40.94162,0.8609319735043633
GPSampler,D8,15,42.91716,0.9024741877825676
GPSampler,D8,20,44.69554,0.9398704657764694
GPSampler,D8,25,44.72652,0.94052192198507
GPSampler,D8,30,44.7516,0.9410493113237304
GPSampler,D8,35,45.43848,0.9554932183787194
GPSampler,D8,40,45.43848,0.9554932183787194
GPSampler,D8,45,45.43848,0.9554932183787194
GPSampler,D8,50,46.32908,0.9742210072547576
GPSampler,D8,55,46.35254,0.9747143307748922
GPSampler,D8,60,46.42306,0.9761972452949216
GPSampler,D8,65,46.49936,0.9778017032909264
GPSampler,D8,70,46.61918,0.9803213121648616
GPSampler,D8,75,46.61918,0.9803213121648616
GPSampler,D8,80,46.61918,0.9803213121648616
GPSampler,D8,85,46.61918,0.9803213121648616
GPSampler,D8,90,46.72972,0.9826457785721796
GPSampler,D8,95,46.85298,0.985237724739775
GPSampler,D8,100,46.97262,0.9877535485227632
RandomSampler,D10,5,38.82768,0.6919058395851525
RandomSampler,D10,10,51.00124,0.9088376071422208
RandomSampler,D10,15,51.96752,0.9260566316802396
RandomSampler,D10,20,51.96752,0.9260566316802396
RandomSampler,D10,25,54.33239999999999,0.9681985850989896
RandomSampler,D10,30,54.33239999999999,0.9681985850989896
RandomSampler,D10,35,54.33239999999999,0.9681985850989896
RandomSampler,D10,40,54.33239999999999,0.9681985850989896
RandomSampler,D10,45,54.33239999999999,0.9681985850989896
RandomSampler,D10,50,54.50019999999999,0.9711887663274944
RandomSampler,D10,55,54.50019999999999,0.9711887663274944
RandomSampler,D10,60,54.81948,0.9768783078211594
RandomSampler,D10,65,54.81948,0.9768783078211594
RandomSampler,D10,70,55.00334,0.9801546768358964
RandomSampler,D10,75,55.52938,0.9895286633284032
RandomSampler,D10,80,55.70426,0.9926450095336528
RandomSampler,D10,85,55.70426,0.9926450095336528
RandomSampler,D10,90,55.70426,0.9926450095336528
