FEATURE,IMPORTANCE,DATASET,TEST_SET,REGRESSOR
AverageNVPairsPerEntity,0.0,OPTUNA,D7,AutoML
NumberOfNameValuePairs,0.0,OPTUNA,D7,AutoML
NumberOfDistinctValues,0.0,OPTUNA,D7,AutoML
NumberOfAttributes,0.0,OPTUNA,D7,AutoML
InputEntityProfiles,0.0,OPTUNA,D7,AutoML
AverageDistinctValuesPerAttribute,0.0,OPTUNA,D7,AutoML
lm_sminilm,-6.9781934386004e-05,OPTUNA,D7,AutoML
clustering_UniqueMappingClustering,-9.597408883017522e-05,OPTUNA,D7,AutoML
k,-0.0001464096710306,OPTUNA,D7,AutoML
lm_sdistilroberta,-0.000209554867308,OPTUNA,D7,AutoML
lm_sent_glove,-0.0004963142504698,OPTUNA,D7,AutoML
lm_word2vec,-0.001200881556958,OPTUNA,D7,AutoML
lm_st5,-0.0014882287038858,OPTUNA,D7,AutoML
threshold,-0.0358537236949821,OPTUNA,D7,AutoML
clustering_ConnectedComponentsClustering,0.0171324366160229,OPTUNA,D5,AutoML
threshold,0.0037015856451039,OPTUNA,D5,AutoML
lm_sminilm,0.0036165157918117,OPTUNA,D5,AutoML
k,0.0031483665809762,OPTUNA,D5,AutoML
lm_fasttext,0.0009938806218845,OPTUNA,D5,AutoML
clustering_KiralyMSMApproximateClustering,0.0002095479124971,OPTUNA,D5,AutoML
lm_sent_glove,0.0001177400430121,OPTUNA,D5,AutoML
lm_word2vec,7.768894207007548e-05,OPTUNA,D5,AutoML
clustering_UniqueMappingClustering,9.551536481922086e-06,OPTUNA,D5,AutoML
AverageNVpairsPerAttribute,0.0,OPTUNA,D5,AutoML
AverageDistinctValuesPerAttribute,0.0,OPTUNA,D5,AutoML
NumberOfMissingNVpairs,0.0,OPTUNA,D5,AutoML
AverageValueLength,0.0,OPTUNA,D5,AutoML
AverageDistinctValuesPerEntity,0.0,OPTUNA,D5,AutoML
MaxValuesPerEntity,0.0,OPTUNA,D5,AutoML
AverageNVPairsPerEntity,0.0,OPTUNA,D5,AutoML
NumberOfNameValuePairs,0.0,OPTUNA,D5,AutoML
NumberOfDistinctValues,0.0,OPTUNA,D5,AutoML
NumberOfAttributes,0.0,OPTUNA,D5,AutoML
InputEntityProfiles,0.0,OPTUNA,D5,AutoML
AverageValueTokens,0.0,OPTUNA,D5,AutoML
lm_smpnet,-1.5522730477446345e-05,OPTUNA,D5,AutoML
lm_sdistilroberta,-1.916728051840621e-05,OPTUNA,D5,AutoML
lm_st5,-0.0011607658599617,OPTUNA,D5,AutoML
clustering_ConnectedComponentsClustering,0.0306494323319377,OPTUNA,D4,AutoML
threshold,0.0160793555460482,OPTUNA,D4,AutoML
clustering_KiralyMSMApproximateClustering,0.0023838352686233,OPTUNA,D4,AutoML
k,0.0016944694279672,OPTUNA,D4,AutoML
lm_sminilm,0.0003731079407668,OPTUNA,D4,AutoML
lm_sdistilroberta,0.0001693103045729,OPTUNA,D4,AutoML
clustering_UniqueMappingClustering,9.322342236384172e-05,OPTUNA,D4,AutoML
lm_smpnet,7.285595228783137e-05,OPTUNA,D4,AutoML
AverageValueLength,0.0,OPTUNA,D4,AutoML
MaxValuesPerEntity,0.0,OPTUNA,D4,AutoML
AverageValueTokens,0.0,OPTUNA,D4,AutoML
NumberOfMissingNVpairs,0.0,OPTUNA,D4,AutoML
AverageDistinctValuesPerAttribute,0.0,OPTUNA,D4,AutoML
AverageNVpairsPerAttribute,0.0,OPTUNA,D4,AutoML
AverageDistinctValuesPerEntity,0.0,OPTUNA,D4,AutoML
AverageNVPairsPerEntity,0.0,OPTUNA,D4,AutoML
NumberOfNameValuePairs,0.0,OPTUNA,D4,AutoML
NumberOfDistinctValues,0.0,OPTUNA,D4,AutoML
NumberOfAttributes,0.0,OPTUNA,D4,AutoML
InputEntityProfiles,0.0,OPTUNA,D4,AutoML
lm_sent_glove,-0.00013216347805,OPTUNA,D4,AutoML
lm_word2vec,-0.000370707053495,OPTUNA,D4,AutoML
lm_st5,-0.0025975908777448,OPTUNA,D4,AutoML
lm_fasttext,-0.002924625742537,OPTUNA,D4,AutoML
clustering_KiralyMSMApproximateClustering,0.1051895547633462,ALL,D10,AutoML
clustering_ConnectedComponentsClustering,0.0433951387737543,ALL,D10,AutoML
lm_fasttext,0.0264822451515007,ALL,D10,AutoML
lm_sdistilroberta,0.0257233029901839,ALL,D10,AutoML
lm_sent_glove,0.0252671157228897,ALL,D10,AutoML
threshold,0.0243954204795375,ALL,D10,AutoML
lm_word2vec,0.0173902589293976,ALL,D10,AutoML
lm_smpnet,0.0110403672242864,ALL,D10,AutoML
lm_sminilm,0.0080293227439628,ALL,D10,AutoML
AverageValueLength,0.0,ALL,D10,AutoML
MaxValuesPerEntity,0.0,ALL,D10,AutoML
AverageValueTokens,0.0,ALL,D10,AutoML
NumberOfMissingNVpairs,0.0,ALL,D10,AutoML
AverageDistinctValuesPerAttribute,0.0,ALL,D10,AutoML
AverageNVpairsPerAttribute,0.0,ALL,D10,AutoML
AverageDistinctValuesPerEntity,0.0,ALL,D10,AutoML
